Order ID,Customer ID,Product ID,Order Date
O101,C001,P001,2023-08-01
O102,C002,P002,2023-08-02
O103,C003,P003,2023-08-02
O104,C004,P001,2023-08-03
O105,C001,P002,2023-08-04
O106,C002,P003,2023-08-05
O107,C003,P001,2023-08-05
O108,C004,P002,2023-08-06
O109,C001,P003,2023-08-06
O110,C002,P001,2023-08-07
O111,C003,P002,2023-08-08
O112,C004,P003,2023-08-09
O113,C001,P001,2023-08-10
O114,C002,P002,2023-08-11
O115,C003,P003,2023-08-11
O116,C004,P001,2023-08-12
O117,C001,P002,2023-08-13
O118,C002,P003,2023-08-14
O119,C003,P001,2023-08-14
O120,C004,P002,2023-08-15
